name,position,actual_points,xgb_pred,nn_pred,ensemble_pred,team,price
J.Timber,DEF,149,140.1712,127.793335,133.9822675,Arsenal,6.0
Virgil,DEF,175,136.85439,129.86552,133.359955,Liverpool,6.1
Gabriel,DEF,209,112.689606,147.1266,129.90810299999998,Arsenal,7.3
Kerkez,DEF,85,111.91263,119.80512,115.858875,Liverpool,5.6
Murillo,DEF,83,111.27485,126.20921,118.74203,Nott'm Forest,5.2
Watkins,FWD,167,157.44272,139.72017,148.581445,Aston Villa,8.7
João Pedro,FWD,177,128.49445,142.16158,135.328015,Chelsea,7.4
Delap,FWD,45,122.05677,148.28899,135.17288000000002,Chelsea,6.2
Raya,GKP,162,160.45294,135.11351,147.78322500000002,Arsenal,6.2
Pickford,GKP,135,138.74779,141.20111,139.97445,Everton,5.6
Schade,MID,125,165.61823,137.48413,151.55118,Brentford,6.8
Semenyo,MID,202,154.1171,164.00299,159.060045,Man City,8.0
Ndiaye,MID,128,150.98402,145.56114,148.27258,Everton,6.3
Gakpo,MID,131,147.33977,160.68639,154.01308,Liverpool,7.3
Rogers,MID,169,145.49582,157.11842,151.30712,Chelsea,7.3
