id,name,team,position,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,points_per_game,selected_by_percent,transfers_in,transfers_out
1,Raya,Arsenal,GKP,6.0,162,3330,0,0,19,26,1,0,60,11,633,541.6,33.5,0.0,57.5,0.0,4.4,30.4,0,0
2,Arrizabalaga,Arsenal,GKP,5.0,2,90,0,0,0,1,0,0,2,0,11,19.8,0.0,0.0,2.0,0.0,2.0,0.2,0,0
3,Meslier,Arsenal,GKP,5.0,0,0,11,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
4,Gabriel,Arsenal,DEF,8.0,209,2750,3,5,18,20,4,0,0,30,724,824.0,128.5,298.0,125.0,0.0,6.5,25.5,0,0
5,J.Timber,Arsenal,DEF,6.5,149,2452,3,6,13,20,5,0,0,9,532,499.0,402.6,352.0,125.7,0.0,5.0,0.6,0,0
6,Saliba,Arsenal,DEF,6.0,137,2614,1,0,15,20,2,0,0,12,581,552.6,201.0,90.0,84.3,0.0,4.4,0.5,0,0
7,Lewis-Skelly,Arsenal,MID,5.5,29,697,0,0,2,8,3,0,0,0,110,73.2,74.6,29.0,17.6,0.0,1.4,0.3,0,0
8,Calafiori,Arsenal,DEF,5.5,109,1697,1,2,13,8,5,0,0,6,389,283.0,182.3,313.0,77.9,0.0,4.2,14.2,0,0
9,Hincapie,Arsenal,DEF,5.5,87,1787,1,2,5,19,2,0,0,7,335,453.6,184.7,72.0,70.9,0.0,3.5,4.7,0,0
10,White,Arsenal,DEF,5.5,45,699,0,1,5,6,0,0,0,3,181,154.8,133.4,54.0,34.3,0.0,3.8,0.0,0,0
11,Mosquera,Arsenal,DEF,5.5,40,986,0,0,3,8,4,0,0,1,195,219.2,88.7,20.0,32.9,0.0,2.0,17.3,0,0
12,Saka,Arsenal,MID,9.5,157,2218,7,10,12,16,2,0,0,18,570,627.0,847.6,828.0,230.6,0.0,5.1,10.7,0,0
13,Rice,Arsenal,MID,7.5,184,3093,4,9,18,25,3,0,0,23,790,827.2,1027.4,298.0,215.4,0.0,5.1,22.2,0,0
14,Eze,Arsenal,MID,6.5,113,1885,7,3,11,14,1,0,0,8,439,393.4,305.7,455.0,115.1,0.0,3.4,3.3,0,0
15,Ødegaard,Arsenal,MID,6.5,74,1363,1,7,6,13,0,0,0,5,306,311.8,564.4,168.0,104.4,0.0,3.1,3.0,0,0
16,Madueke,Arsenal,MID,6.5,72,1205,3,1,8,9,0,0,0,9,254,257.4,352.8,404.0,101.3,0.0,2.8,0.4,0,0
17,Merino,Arsenal,MID,6.0,67,1024,4,3,4,10,1,0,0,5,236,304.4,191.8,244.0,73.6,0.0,3.0,1.3,0,0
18,Martinelli,Arsenal,MID,6.5,57,1065,1,5,2,8,3,0,0,3,195,204.6,202.2,390.0,79.0,0.0,1.9,0.3,0,0
19,Zubimendi,Arsenal,MID,5.5,133,2991,5,1,16,25,4,0,0,9,604,603.2,385.1,271.0,126.2,0.0,3.5,1.5,0,0
20,Dowman,Arsenal,MID,5.5,16,152,1,1,1,1,0,0,0,0,51,45.2,55.5,65.0,16.6,0.0,2.7,0.1,0,0
21,Nørgaard,Arsenal,MID,5.0,7,101,0,0,0,1,0,0,0,0,28,23.4,5.5,10.0,4.0,0.0,1.0,0.1,0,0
22,Nwaneri,Arsenal,MID,5.5,8,165,0,0,1,0,0,0,0,0,20,8.6,22.5,24.0,5.4,0.0,1.3,0.0,0,0
23,Fábio Vieira,Arsenal,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
24,Nelson,Arsenal,MID,5.5,13,118,0,1,0,2,0,0,0,0,39,42.6,32.6,29.0,10.0,0.0,1.3,0.0,0,0
25,Gyökeres,Arsenal,FWD,7.5,128,2217,14,1,12,14,5,0,0,16,474,539.6,271.7,772.0,157.5,0.0,3.6,13.3,0,0
26,Havertz,Arsenal,FWD,7.5,36,577,2,3,4,4,1,0,0,3,143,152.6,134.6,210.0,49.9,0.0,3.0,4.0,0,0
27,G.Jesus,Arsenal,FWD,6.0,24,418,3,0,1,6,3,0,0,0,92,141.8,54.3,281.0,47.5,0.0,1.7,0.4,0,0
557,Tzolis,Arsenal,MID,6.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0,0
28,Martinez,Aston Villa,GKP,5.0,120,2835,0,1,7,39,2,0,95,11,530,769.8,23.2,0.0,79.2,0.0,3.8,4.4,0,0
29,M.Bizot,Aston Villa,GKP,4.5,16,585,0,0,1,10,2,0,19,0,75,139.2,0.0,0.0,13.9,0.0,2.3,0.1,0,0
30,Digne,Aston Villa,DEF,4.5,97,1842,0,7,7,23,3,0,0,5,381,400.2,455.5,130.0,98.5,0.0,3.1,1.4,0,0
31,Konsa,Aston Villa,DEF,4.5,100,3035,0,1,9,44,0,1,0,3,497,601.4,108.3,124.0,84.0,0.0,2.9,18.0,0,0
32,Cash,Aston Villa,DEF,4.5,117,3016,3,3,8,38,9,0,0,7,450,643.0,510.7,221.0,137.5,0.0,3.3,7.9,0,0
33,Mings,Aston Villa,DEF,4.5,50,1322,0,1,3,23,1,0,0,4,169,282.6,80.5,105.0,46.8,0.0,2.9,0.2,0,0
34,Pau,Aston Villa,DEF,4.5,64,1673,0,2,5,19,1,0,0,2,280,321.8,47.1,79.0,45.1,0.0,3.0,0.2,0,0
35,Bogarde,Aston Villa,MID,5.0,40,1042,0,0,2,17,5,0,0,4,121,133.0,59.4,14.0,20.6,0.0,1.4,0.1,0,0
36,Maatsen,Aston Villa,DEF,4.5,54,1590,0,1,2,27,2,0,0,1,242,336.6,373.4,231.0,94.3,0.0,1.8,0.6,0,0
37,Lindelöf,Aston Villa,DEF,4.5,29,942,0,1,1,15,0,0,0,0,124,167.8,36.6,22.0,22.7,0.0,1.7,0.2,0,0
38,A.García,Aston Villa,DEF,4.0,5,83,0,0,0,3,0,0,0,0,12,17.8,3.2,2.0,2.3,0.0,0.8,1.5,0,0
39,Nedeljkovic,Aston Villa,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0
41,Buendía,Aston Villa,MID,6.0,102,1753,6,2,3,24,6,0,0,10,382,427.0,402.1,398.0,121.4,0.0,2.8,0.8,0,0
42,Guessand,Aston Villa,MID,5.5,44,909,1,3,2,15,0,0,0,0,143,159.4,76.6,187.0,42.0,0.0,2.1,0.0,0,0
44,Bailey,Aston Villa,MID,5.5,21,450,0,2,0,9,1,0,0,0,69,71.2,160.4,69.0,30.1,0.0,1.6,0.1,0,0
45,McGinn,Aston Villa,MID,5.5,103,2136,5,4,8,28,5,0,0,6,443,459.8,605.3,309.0,137.3,0.0,3.4,2.8,0,0
46,Barkley,Aston Villa,MID,5.0,56,844,3,2,1,15,1,0,0,5,221,227.8,162.3,191.0,58.1,0.0,2.7,0.2,0,0
47,Kamara,Aston Villa,MID,5.0,61,1410,1,3,5,15,5,0,0,7,282,325.0,241.3,75.0,64.2,0.0,3.4,0.1,0,0
48,Onana,Aston Villa,MID,5.0,76,1755,2,0,6,26,3,0,0,4,353,413.2,152.6,178.0,74.4,0.0,3.0,0.0,0,0
49,Iling Jr,Aston Villa,MID,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
50,Burrowes,Aston Villa,MID,4.5,1,16,0,0,0,1,0,0,0,0,3,0.0,0.3,0.0,0.0,0.0,1.0,1.0,0,0
51,George Hemmings,Aston Villa,MID,4.5,2,25,0,0,0,0,0,0,0,0,5,0.0,1.7,2.0,0.3,0.0,1.0,0.2,0,0
52,Alysson,Aston Villa,MID,5.0,3,47,0,0,0,2,0,0,0,0,11,3.2,3.5,10.0,1.5,0.0,1.0,0.0,0,0
53,Manzambi,Aston Villa,MID,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0,0
54,Gomes,Aston Villa,MID,5.5,85,2207,1,1,4,41,9,0,0,4,421,486.6,353.4,176.0,102.0,0.0,3.0,0.3,0,0
55,Watkins,Aston Villa,FWD,8.0,167,2833,16,4,9,38,4,0,0,26,623,720.2,330.9,1206.0,225.2,0.0,4.5,12.2,0,0
56,Abraham,Aston Villa,FWD,5.5,23,278,2,0,0,8,0,0,0,2,93,87.2,49.2,136.0,27.1,0.0,1.9,0.0,0,0
160,Garnacho,Aston Villa,MID,6.0,56,1261,1,4,4,20,2,0,0,3,222,211.4,405.3,399.0,100.5,0.0,2.3,1.1,0,0
57,Petrović,Bournemouth,GKP,4.5,124,3420,0,0,11,54,3,0,109,5,512,822.6,0.0,0.0,82.4,0.0,3.3,3.5,0,0
58,Forster,Bournemouth,GKP,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,0
59,Dennis,Bournemouth,GKP,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0
60,Hill,Bournemouth,DEF,5.5,110,2102,0,3,8,24,5,0,0,4,386,579.4,161.7,119.0,86.3,0.0,3.8,1.3,0,0
61,Truffert,Bournemouth,DEF,5.5,165,3378,1,6,11,51,5,0,0,19,607,857.0,574.2,194.0,162.6,0.0,4.3,4.6,0,0
62,Diakité,Bournemouth,DEF,5.0,46,1275,0,0,4,27,1,0,0,2,164,267.0,54.3,22.0,34.4,0.0,2.6,0.2,0,0
63,Milosavljević,Bournemouth,DEF,5.0,19,367,0,0,1,6,0,0,0,0,63,98.4,13.9,10.0,12.2,0.0,2.7,0.1,0,0
64,Smith,Bournemouth,DEF,4.5,58,1073,0,2,6,16,3,0,0,4,185,176.2,76.6,18.0,27.1,0.0,2.6,0.1,0,0
65,J.Araujo,Bournemouth,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
66,Soler,Bournemouth,DEF,4.0,3,34,0,0,0,2,0,0,0,0,2,1.8,2.5,2.0,0.6,0.0,1.0,0.6,0,0
67,Rayan,Bournemouth,MID,6.5,67,1110,5,2,6,10,1,0,0,3,238,277.6,211.9,263.0,75.3,0.0,4.5,3.4,0,0
68,Tavernier,Bournemouth,MID,6.0,137,2732,7,4,11,44,6,0,0,14,552,656.8,816.6,605.0,207.9,0.0,4.0,1.6,0,0
69,Scott,Bournemouth,MID,6.0,136,2848,3,2,11,41,5,0,0,9,603,597.2,482.0,314.0,139.0,0.0,3.7,1.6,0,0
70,Kluivert,Bournemouth,MID,6.0,41,945,2,0,4,19,5,0,0,3,147,148.0,305.1,135.0,58.8,0.0,2.0,0.9,0,0
71,Cook,Bournemouth,MID,5.0,40,872,0,1,1,19,1,1,0,0,190,206.8,183.8,12.0,40.6,0.0,2.2,0.1,0,0
72,Gannon-Doak,Bournemouth,MID,5.0,11,105,0,1,0,1,0,0,0,0,33,32.4,17.8,39.0,8.9,0.0,1.4,0.2,0,0
73,Adams,Bournemouth,MID,5.0,77,1769,2,2,7,28,8,0,0,3,346,387.0,158.2,115.0,66.3,0.0,3.1,0.7,0,0
74,Brooks,Bournemouth,MID,5.0,59,1188,1,3,5,20,7,0,0,4,215,236.2,384.5,434.0,104.1,0.0,1.9,0.2,0,0
75,Christie,Bournemouth,MID,5.0,47,978,2,1,3,14,3,1,0,2,214,226.6,197.0,220.0,64.7,0.0,1.8,0.1,0,0
